;importance;stddev;p_value;n;p99_high;p99_low
V18;0.049599436188667544;0.006181769746467316;2.8365068608987327e-05;5;0.062327785537781545;0.03687108683955354
numFix;0.04013196237975862;0.010484635369664657;0.0005115742188995846;5;0.061719971518959;0.018543953240558242
AU17_r;0.03863120634083313;0.008022438292904515;0.00021090414294538777;5;0.055149517667804245;0.02211289501386201
tempSD;0.03812922566681833;0.02444175543385696;0.012581109864637764;5;0.08845513792609044;-0.012196686592453772
AU09_r;0.03617029459070864;0.024222848039633;0.01443178632215627;5;0.08604547349965189;-0.013704884318234606
AU15_r;0.03296162764407582;0.01160045845331187;0.0015722600058149206;5;0.056847131934819765;0.009076123353331876
AU04_r;0.026079063464623974;0.003832866143977922;5.4412959413616715e-05;5;0.033970987830914415;0.018187139098333534
AU01_r;0.0213987094010065;0.015655306682330145;0.018895451446410555;5;0.05363320223925744;-0.010835783437244437
bvpMean;0.01109552933059268;0.002313352688339716;0.000214187977959505;5;0.015858754489816204;0.006332304171369154
V1;0.008182850430866407;0.003205652902613574;0.00232918309728014;5;0.014783334064179397;0.0015823667975534183
infoProcess;0.007457930726078199;0.0025384936144151387;0.0013891063695986347;5;0.01268472416386931;0.002231137288287088
V2;0.006845552388813225;0.002550069728713808;0.0019381549220099602;5;0.012096181205944198;0.0015949235716822517
V30;0.005627030946081113;0.00642441578496189;0.06087972058440629;5;0.018854991842180098;-0.0076009299500178745
V5;0.005428811528586463;0.0015506550976390268;0.0007187811831664106;5;0.008621631806956302;0.0022359912502166253
meanFixDur;0.0052542626175229755;0.0028484803337962598;0.007278787680620211;5;0.01111932299499159;-0.00061079775994564
V16;0.005111594428490396;0.0015518312835989462;0.0009052380879806826;5;0.008306836490008325;0.001916352366972466
hrMean;0.004435147768150316;0.0055652076917457;0.0746664775056826;5;0.015893987324799297;-0.007023691788498664
V40;0.003915493293827554;0.0005192512234254199;3.626016376510973e-05;5;0.004984638739675088;0.0028463478479800203
V17;0.0035415606291611225;0.0014286934301981778;0.0025902738630851248;5;0.006483260148580869;0.0005998611097413763
bvpSD;0.003313436621178734;0.002878771962775841;0.030868724562153907;5;0.009240867881391113;-0.0026139946390336443
